"Activity" "Subject" "Measurement" "Mean"
"WALKING" "2" "tBodyAcc-mean()-X" 0.27311311578808
"WALKING" "4" "tBodyAcc-mean()-X" 0.274183111498423
"WALKING" "9" "tBodyAcc-mean()-X" 0.270313841621528
"WALKING" "10" "tBodyAcc-mean()-X" 0.27684847392517
"WALKING" "12" "tBodyAcc-mean()-X" 0.27360872421875
"WALKING" "13" "tBodyAcc-mean()-X" 0.27456972840796
"WALKING_UPSTAIRS" "13" "tBodyAcc-mean()-X" 0.278011397674603
"WALKING_UPSTAIRS" "18" "tBodyAcc-mean()-X" 0.276324152142857
"WALKING_UPSTAIRS" "20" "tBodyAcc-mean()-X" 0.268425757926554
"WALKING_UPSTAIRS" "24" "tBodyAcc-mean()-X" 0.276767046391076
"WALKING_UPSTAIRS" "1" "tBodyAcc-mean()-X" 0.265130137749216
"WALKING_DOWNSTAIRS" "1" "tBodyAcc-mean()-X" 0.272154196428571
"WALKING_DOWNSTAIRS" "3" "tBodyAcc-mean()-X" 0.273428719636364
"WALKING_DOWNSTAIRS" "5" "tBodyAcc-mean()-X" 0.279177960301325
"WALKING_DOWNSTAIRS" "6" "tBodyAcc-mean()-X" 0.272376614181538
"WALKING_DOWNSTAIRS" "7" "tBodyAcc-mean()-X" 0.270211697814935
"WALKING_DOWNSTAIRS" "8" "tBodyAcc-mean()-X" 0.279888894852941
"SITTING" "8" "tBodyAcc-mean()-X" 0.265556589446927
"SITTING" "11" "tBodyAcc-mean()-X" 0.27658531139557
"SITTING" "14" "tBodyAcc-mean()-X" 0.270184596009288
"SITTING" "15" "tBodyAcc-mean()-X" 0.27821340725
"SITTING" "16" "tBodyAcc-mean()-X" 0.277887440374317
"SITTING" "17" "tBodyAcc-mean()-X" 0.273637590822641
"STANDING" "17" "tBodyAcc-mean()-X" 0.275037981747573
"STANDING" "19" "tBodyAcc-mean()-X" 0.269723487105556
"STANDING" "21" "tBodyAcc-mean()-X" 0.277466525522059
"STANDING" "22" "tBodyAcc-mean()-X" 0.274767690046106
"STANDING" "23" "tBodyAcc-mean()-X" 0.273493254730108
"STANDING" "25" "tBodyAcc-mean()-X" 0.274069916107602
"LAYING" "25" "tBodyAcc-mean()-X" 0.281587895671642
"LAYING" "26" "tBodyAcc-mean()-X" 0.2730365808625
"LAYING" "27" "tBodyAcc-mean()-X" 0.277264567074468
"LAYING" "28" "tBodyAcc-mean()-X" 0.277532554764398
"LAYING" "29" "tBodyAcc-mean()-X" 0.279111521944767
"LAYING" "30" "tBodyAcc-mean()-X" 0.276305836721932
"WALKING" "2" "tBodyAcc-mean()-Y" -0.0191323183174834
"WALKING" "4" "tBodyAcc-mean()-Y" -0.0148081545344921
"WALKING" "9" "tBodyAcc-mean()-Y" -0.0209466555412396
"WALKING" "10" "tBodyAcc-mean()-Y" -0.017835790552415
"WALKING" "12" "tBodyAcc-mean()-Y" -0.018337204411489
"WALKING" "13" "tBodyAcc-mean()-Y" -0.0183337873806468
"WALKING_UPSTAIRS" "13" "tBodyAcc-mean()-Y" -0.0165604410159524
"WALKING_UPSTAIRS" "18" "tBodyAcc-mean()-Y" -0.0172831546595267
"WALKING_UPSTAIRS" "20" "tBodyAcc-mean()-Y" -0.0175912993773164
"WALKING_UPSTAIRS" "24" "tBodyAcc-mean()-Y" -0.0176822460103884
"WALKING_UPSTAIRS" "1" "tBodyAcc-mean()-Y" -0.0185590134726959
"WALKING_DOWNSTAIRS" "1" "tBodyAcc-mean()-Y" -0.0153264487792857
"WALKING_DOWNSTAIRS" "3" "tBodyAcc-mean()-Y" -0.017856067384956
"WALKING_DOWNSTAIRS" "5" "tBodyAcc-mean()-Y" -0.0154833455336192
"WALKING_DOWNSTAIRS" "6" "tBodyAcc-mean()-Y" -0.0175697042641846
"WALKING_DOWNSTAIRS" "7" "tBodyAcc-mean()-Y" -0.0187904887668182
"WALKING_DOWNSTAIRS" "8" "tBodyAcc-mean()-Y" -0.014403708822451
"SITTING" "8" "tBodyAcc-mean()-Y" -0.0203467625075978
"SITTING" "11" "tBodyAcc-mean()-Y" -0.0191272531933228
"SITTING" "14" "tBodyAcc-mean()-Y" -0.0162548178510526
"SITTING" "15" "tBodyAcc-mean()-Y" -0.016464484771311
"SITTING" "16" "tBodyAcc-mean()-Y" -0.0158567888309016
"SITTING" "17" "tBodyAcc-mean()-Y" -0.0170634745358491
"STANDING" "17" "tBodyAcc-mean()-Y" -0.0187717447257282
"STANDING" "19" "tBodyAcc-mean()-Y" -0.0182031515710306
"STANDING" "21" "tBodyAcc-mean()-Y" -0.0176664578561765
"STANDING" "22" "tBodyAcc-mean()-Y" -0.0168273604077383
"STANDING" "23" "tBodyAcc-mean()-Y" -0.019589258786828
"STANDING" "25" "tBodyAcc-mean()-Y" -0.0185440541740351
"LAYING" "25" "tBodyAcc-mean()-Y" -0.0232940871262687
"LAYING" "26" "tBodyAcc-mean()-Y" -0.0161687277463495
"LAYING" "27" "tBodyAcc-mean()-Y" -0.0167969215592152
"LAYING" "28" "tBodyAcc-mean()-Y" -0.0191721442063089
"LAYING" "29" "tBodyAcc-mean()-Y" -0.018471953048314
"LAYING" "30" "tBodyAcc-mean()-Y" -0.0175856077340209
"WALKING" "2" "tBodyAcc-mean()-Z" -0.115649958175497
"WALKING" "4" "tBodyAcc-mean()-Z" -0.107521430810726
"WALKING" "9" "tBodyAcc-mean()-Z" -0.101233826213889
"WALKING" "10" "tBodyAcc-mean()-Z" -0.111301532185714
"WALKING" "12" "tBodyAcc-mean()-Z" -0.106649116775
"WALKING" "13" "tBodyAcc-mean()-Z" -0.108167276572637
"WALKING_UPSTAIRS" "13" "tBodyAcc-mean()-Z" -0.110679490349206
"WALKING_UPSTAIRS" "18" "tBodyAcc-mean()-Z" -0.108112251068681
"WALKING_UPSTAIRS" "20" "tBodyAcc-mean()-Z" -0.108029145824294
"WALKING_UPSTAIRS" "24" "tBodyAcc-mean()-Z" -0.107914503687664
"WALKING_UPSTAIRS" "1" "tBodyAcc-mean()-Z" -0.108975792340125
"WALKING_DOWNSTAIRS" "1" "tBodyAcc-mean()-Z" -0.0949711475357143
"WALKING_DOWNSTAIRS" "3" "tBodyAcc-mean()-Z" -0.106492632429097
"WALKING_DOWNSTAIRS" "5" "tBodyAcc-mean()-Z" -0.105661736816887
"WALKING_DOWNSTAIRS" "6" "tBodyAcc-mean()-Z" -0.11599454136
"WALKING_DOWNSTAIRS" "7" "tBodyAcc-mean()-Z" -0.112492375388312
"WALKING_DOWNSTAIRS" "8" "tBodyAcc-mean()-Z" -0.109837952176471
"SITTING" "8" "tBodyAcc-mean()-Z" -0.105083983984358
"SITTING" "11" "tBodyAcc-mean()-Z" -0.108941761642405
"SITTING" "14" "tBodyAcc-mean()-Z" -0.100985935692074
"SITTING" "15" "tBodyAcc-mean()-Z" -0.112563587594512
"SITTING" "16" "tBodyAcc-mean()-Z" -0.107263924445355
"SITTING" "17" "tBodyAcc-mean()-Z" -0.110020373493849
"STANDING" "17" "tBodyAcc-mean()-Z" -0.107088805592233
"STANDING" "19" "tBodyAcc-mean()-Z" -0.118277180099383
"STANDING" "21" "tBodyAcc-mean()-Z" -0.10877848058848
"STANDING" "22" "tBodyAcc-mean()-Z" -0.108670376782866
"STANDING" "23" "tBodyAcc-mean()-Z" -0.109093982385242
"STANDING" "25" "tBodyAcc-mean()-Z" -0.109293279122807
"LAYING" "25" "tBodyAcc-mean()-Z" -0.111342868820896
"LAYING" "26" "tBodyAcc-mean()-Z" -0.107637894928571
"LAYING" "27" "tBodyAcc-mean()-Z" -0.110848300413564
"LAYING" "28" "tBodyAcc-mean()-Z" -0.109710873104188
"LAYING" "29" "tBodyAcc-mean()-Z" -0.108675612269477
"LAYING" "30" "tBodyAcc-mean()-Z" -0.10589355727859
"WALKING" "2" "tBodyAcc-std()-X" -0.605586497159271
"WALKING" "4" "tBodyAcc-std()-X" -0.605211727785489
"WALKING" "9" "tBodyAcc-std()-X" -0.555656544538194
"WALKING" "10" "tBodyAcc-std()-X" -0.537807711163265
"WALKING" "12" "tBodyAcc-std()-X" -0.583962207065
"WALKING" "13" "tBodyAcc-std()-X" -0.685015769826368
"WALKING_UPSTAIRS" "13" "tBodyAcc-std()-X" -0.52885689484127
